normalized_radius,true_elevation_m,estimated_elevation_m
1.14000000,0.0888166365,0.0892460906
1.14250000,0.0878463331,0.0882411161
1.14500000,0.0868760298,0.0872361415
1.14750000,0.0859057265,0.0862311670
1.15000000,0.0849354231,0.0852261925
1.15250000,0.0839651198,0.0842212179
1.15500000,0.0829948164,0.0832162434
1.15750000,0.0820245131,0.0822112689
1.16000000,0.0810542097,0.0812062944
1.16250000,0.0800839064,0.0802013198
1.16500000,0.0791136030,0.0791963453
1.16750000,0.0781432997,0.0781913708
1.17000000,0.0771729963,0.0771863962
1.17250000,0.0762026930,0.0761814217
1.17500000,0.0752323896,0.0751764472
1.17750000,0.0742620863,0.0741714727
1.18000000,0.0732917830,0.0731664981
1.18250000,0.0723214796,0.0721615236
1.18500000,0.0713633838,0.0711752172
1.18750000,0.0704394361,0.0702411309
1.19000000,0.0695154884,0.0693070447
1.19250000,0.0685915406,0.0683729585
1.19500000,0.0676675929,0.0674388723
1.19750000,0.0667436452,0.0665047861
1.20000000,0.0658196975,0.0655706998
1.20250000,0.0648957498,0.0646366136
1.20500000,0.0639718021,0.0637025274
1.20750000,0.0630478543,0.0627684412
1.21000000,0.0621239066,0.0618343549
1.21250000,0.0611999589,0.0609002687
1.21500000,0.0602760112,0.0599661825
1.21750000,0.0593520635,0.0590320963
1.22000000,0.0584281158,0.0580980101
1.22250000,0.0575041681,0.0571639238
1.22500000,0.0565802203,0.0562298376
1.22750000,0.0556562726,0.0552957514
1.23000000,0.0547373425,0.0543666579
1.23250000,0.0539308897,0.0535494851
1.23500000,0.0531244370,0.0527323123
1.23750000,0.0523179842,0.0519151395
1.24000000,0.0515115315,0.0510979667
1.24250000,0.0507050787,0.0502807939
1.24500000,0.0498986260,0.0494636211
1.24750000,0.0490921732,0.0486464483
1.25000000,0.0482857205,0.0478292756
1.25250000,0.0474792678,0.0470121028
1.25500000,0.0466728150,0.0461949300
1.25750000,0.0458663623,0.0453777572
1.26000000,0.0450599095,0.0445605844
1.26250000,0.0442534568,0.0437434116
1.26500000,0.0434470040,0.0429262388
1.26750000,0.0426405513,0.0421090660
1.27000000,0.0418340985,0.0412918932
1.27250000,0.0410276458,0.0404747204
1.27500000,0.0402211930,0.0396575476
1.27750000,0.0395297067,0.0389627895
1.28000000,0.0388631048,0.0382945281
1.28250000,0.0381965029,0.0376262667
1.28500000,0.0375299011,0.0369580053
1.28750000,0.0368632992,0.0362897439
1.29000000,0.0361966973,0.0356214825
1.29250000,0.0355300955,0.0349532211
1.29500000,0.0348634936,0.0342849597
1.29750000,0.0341968917,0.0336166983
1.30000000,0.0335302899,0.0329484369
1.30250000,0.0328636880,0.0322801754
1.30500000,0.0321970861,0.0316119140
1.30750000,0.0315304843,0.0309436526
1.31000000,0.0308638824,0.0302753912
1.31250000,0.0301972805,0.0296071298
1.31500000,0.0295306787,0.0289388684
1.31750000,0.0288640768,0.0282706070
1.32000000,0.0281974749,0.0276023456
1.32250000,0.0276203358,0.0270251138
1.32500000,0.0271024856,0.0265082094
1.32750000,0.0265846353,0.0259913050
1.33000000,0.0260667851,0.0254744006
1.33250000,0.0255489349,0.0249574962
1.33500000,0.0250310846,0.0244405918
1.33750000,0.0245132344,0.0239236874
1.34000000,0.0239953842,0.0234067830
1.34250000,0.0234775339,0.0228898786
1.34500000,0.0229596837,0.0223729742
1.34750000,0.0224418335,0.0218560698
1.35000000,0.0219239832,0.0213391654
1.35250000,0.0214061330,0.0208222609
1.35500000,0.0208882828,0.0203053565
1.35750000,0.0203704325,0.0197884521
1.36000000,0.0198525823,0.0192715477
1.36250000,0.0193347321,0.0187546433
1.36500000,0.0188168818,0.0182377389
1.36750000,0.0183515702,0.0177746268
1.37000000,0.0179716953,0.0173989900
1.37250000,0.0175918203,0.0170233532
1.37500000,0.0172119454,0.0166477164
1.37750000,0.0168320704,0.0162720795
1.38000000,0.0164521955,0.0158964427
1.38250000,0.0160723205,0.0155208059
1.38500000,0.0156924456,0.0151451691
1.38750000,0.0153125706,0.0147695323
1.39000000,0.0149326957,0.0143938955
1.39250000,0.0145528207,0.0140182587
1.39500000,0.0141729457,0.0136426219
1.39750000,0.0137930708,0.0132669850
1.40000000,0.0134131958,0.0128913482
1.40250000,0.0130333209,0.0125157114
1.40500000,0.0126534459,0.0121400746
1.40750000,0.0122735710,0.0117644378
1.41000000,0.0118936960,0.0113888010
1.41250000,0.0115327915,0.0110323580
1.41500000,0.0112713763,0.0107765756
1.41750000,0.0110099611,0.0105207933
1.42000000,0.0107485459,0.0102650110
1.42250000,0.0104871307,0.0100092287
1.42500000,0.0102257155,0.0097534464
1.42750000,0.0099643003,0.0094976641
1.43000000,0.0097028852,0.0092418818
1.43250000,0.0094414700,0.0089860994
1.43500000,0.0091800548,0.0087303171
1.43750000,0.0089186396,0.0084745348
1.44000000,0.0086572244,0.0082187525
1.44250000,0.0083958092,0.0079629702
1.44500000,0.0081343940,0.0077071879
1.44750000,0.0078729788,0.0074514056
1.45000000,0.0076115636,0.0071956232
1.45250000,0.0073501484,0.0069398409
1.45500000,0.0070887332,0.0066840586
1.45750000,0.0068273181,0.0064282763
1.46000000,0.0066535392,0.0062604940
1.46250000,0.0064854036,0.0060983783
1.46500000,0.0063172680,0.0059362626
1.46750000,0.0061491324,0.0057741469
1.47000000,0.0059809968,0.0056120312
1.47250000,0.0058128612,0.0054499155
1.47500000,0.0056447256,0.0052877998
1.47750000,0.0054765900,0.0051256842
1.48000000,0.0053084544,0.0049635685
1.48250000,0.0051403188,0.0048014528
1.48500000,0.0049721832,0.0046393371
1.48750000,0.0048040476,0.0044772214
1.49000000,0.0046359120,0.0043151057
1.49250000,0.0044677764,0.0041529901
1.49500000,0.0042996408,0.0039908744
1.49750000,0.0041315052,0.0038287587
1.50000000,0.0039633696,0.0036666430
